model,DV,d_baseline,d_expert,perc_red,CI_low,CI_high,flag_reversal,flag_CI
gpt4o,P_post,1.2242445892359644,0.0,100.0,48.147654032208365,100.0,False,False
gpt4o,GR_post,-1.658756993183048,-1.038336125175548,37.40275824350571,-4.665144038748087,68.00930064001912,False,False
gpt4o,Reckless,4.5867303428581065,5.150368335940567,-12.288448436043089,-50.241179286030125,16.90327132838837,False,False
gpt4o,Negligent,4.028304554708984,4.262928661444004,-5.824388487726195,-45.99752495998744,24.20300498841291,False,False
gpt4o,Blame,5.525456240589247,5.677135846044302,-2.7451055415268044,-49.06270146274412,28.76992278484934,False,False
gpt4o,Punish,5.919205119550413,6.956393915601162,-17.522433757617904,-75.99394359072794,21.62614193767715,False,False
sonnet4,P_post,0.8505362611036241,0.0,100.0,24.9396254052794,100.0,False,False
sonnet4,GR_post,-0.8854326982231794,-0.5394018262882196,39.0804261723504,-11.698880034348075,88.54921532271662,False,False
sonnet4,Reckless,3.0202941695716152,2.7579434051270386,8.686265301163932,-20.345332891996858,30.913800820709728,False,False
sonnet4,Negligent,3.2960452625970844,1.9840731298868388,39.80443313683414,19.35699086456771,56.405120278021165,False,False
sonnet4,Blame,3.801294039157786,3.0316106442655237,20.247931019374477,-1.1724740157276303,36.651386549301634,False,False
sonnet4,Punish,4.259600394326711,3.4206197200809085,19.696229612599957,-6.523918193571599,38.83684209514906,False,False
deepseekr1,P_post,0.7164167104821147,0.0,100.0,1.6404064822404398,100.0,False,False
deepseekr1,GR_post,-1.0485349719810793,-1.2225681060979026,-16.597742447064867,-107.0044667971346,40.3593131585484,False,True
deepseekr1,Reckless,1.576430988806486,1.4063269810949293,10.790450639411898,-66.18565398890561,55.88257599400049,False,False
deepseekr1,Negligent,2.034713110523323,1.7853255690174237,12.256643957130532,-25.807373676806964,40.62787997587869,False,False
deepseekr1,Blame,3.75658383922404,2.642883835657156,29.64661648006583,-8.00744018240239,52.61690866830619,False,False
deepseekr1,Punish,5.241098706021334,4.251813974990213,18.87552184229162,-12.223799040093082,42.392553736161446,False,False
o1mini,P_post,0.5837786497812885,0.0,100.0,-165.13871724672984,100.0,False,True
o1mini,GR_post,-1.1098911690249842,-0.2233539732851005,79.87604735324526,21.506282124802937,98.88713345795196,False,False
o1mini,Reckless,1.6163578231977636,0.7223619163861665,55.30928201547211,8.257806534773355,87.07785155813981,False,False
o1mini,Negligent,2.0930805130213135,1.209164668943879,42.23037950898134,-4.40388005513832,71.29709777832053,False,False
o1mini,Blame,2.84154333593924,1.4575147322815554,48.70693281896437,13.02586151045995,72.34600145904592,False,False
o1mini,Punish,3.31789273450584,2.316251603568371,30.18907514762231,-15.068154684698792,58.17222547690067,False,False
o4mini,P_post,0.2490842587648492,0.0,100.0,-1359.591025914002,100.0,False,True
o4mini,GR_post,-0.8164525922101377,-0.974056238686103,-19.30346574677804,-210.73260233510467,45.22097042625902,False,True
o4mini,Reckless,1.0832922343236284,0.8270810715545244,23.65115844563159,-85.37033441826338,74.99616190003725,False,False
o4mini,Negligent,2.148867342111767,1.9751692414419348,8.083239819687215,-38.04030534497773,37.677492680955226,False,False
o4mini,Blame,3.2096104149865545,2.964462391533168,7.637937062664147,-28.94876350181097,35.44665756159668,False,False
o4mini,Punish,4.371556756417131,4.181020238238287,4.3585507130646235,-38.07215633191731,35.500854860437975,False,False
