model,DV,d_baseline,d_expert,abs_diff,CI_low,CI_high
deepseekr1,P_post,0.7164167104821147,0.0,0.7164167104821147,0.005925557686636922,1.0202163005179319
deepseekr1,GR_post,-1.0485349719810793,-1.2225681060979026,-0.1740331341168233,-0.8796066464370382,0.5478778309674661
deepseekr1,Reckless,1.576430988806486,1.4063269810949293,0.17010400771155676,-0.8150745222415098,1.2613399277267323
deepseekr1,Negligent,2.034713110523323,1.7853255690174235,0.24938754150589948,-0.4834380324958611,0.9561406557965668
deepseekr1,Blame,3.7565838392240396,2.642883835657156,1.1137000035668838,-0.28378404170557,2.398289259211202
deepseekr1,Punish,5.241098706021334,4.251813974990213,0.9892847310311206,-0.5464357866009764,2.832197534323862
gpt4o,P_post,1.2242445892359644,0.0,1.2242445892359644,0.4965671834559663,1.5991321485010308
gpt4o,GR_post,-1.658756993183048,-1.038336125175548,0.6204208680074998,-0.06715753753659479,1.4040673720495396
gpt4o,Reckless,4.5867303428581065,5.150368335940567,-0.5636379930824607,-2.114079071937304,0.9244346833428595
gpt4o,Negligent,4.028304554708984,4.262928661444004,-0.2346241067350201,-1.6383628136282906,1.230044662410705
gpt4o,Blame,5.525456240589247,5.677135846044302,-0.15167960545505466,-2.3979795640076906,2.11539989105668
gpt4o,Punish,5.919205119550413,6.956393915601162,-1.0371887960507493,-4.157528618564331,1.6347303004115588
o1mini,P_post,0.5837786497812885,0.0,0.5837786497812885,-0.2581548865817247,1.089617976272308
o1mini,GR_post,-1.1098911690249842,-0.22335397328510054,0.8865371957398837,0.1314956729552628,1.6417413022840155
o1mini,Reckless,1.6163578231977636,0.7223619163861665,0.893995906811597,0.09581881809277461,1.8459140986255256
o1mini,Negligent,2.0930805130213135,1.209164668943879,0.8839158440774344,-0.07568739439965967,1.9880395180929868
o1mini,Blame,2.84154333593924,1.4575147322815554,1.3840286036576848,0.294363560596245,2.78470598916734
o1mini,Punish,3.31789273450584,2.316251603568371,1.001641130937469,-0.41462564953156306,2.5758157913572073
o4mini,P_post,0.2490842587648492,0.0,0.2490842587648492,-0.3796627281841237,0.6164269227020462
o4mini,GR_post,-0.8164525922101377,-0.974056238686103,-0.15760364647596536,-0.8499588900695264,0.48921590311269636
o4mini,Reckless,1.0832922343236284,0.8270810715545244,0.25621116276910405,-0.5774856561125027,1.170816250402484
o4mini,Negligent,2.1488673421117674,1.9751692414419348,0.1736981006698326,-0.68632461076859,1.0658525219234651
o4mini,Blame,3.2096104149865545,2.964462391533168,0.2451480234533867,-0.7987554151803211,1.5209573941398906
o4mini,Punish,4.371556756417131,4.181020238238287,0.19053651817884365,-1.362910963939009,2.085983494155604
sonnet4,P_post,0.8505362611036241,0.0,0.8505362611036241,0.1654027891769386,1.0790457993080338
sonnet4,GR_post,-0.8854326982231794,-0.5394018262882196,0.34603087193495974,-0.08799606673676427,0.8683481146688633
sonnet4,Reckless,3.0202941695716152,2.7579434051270386,0.2623507644445766,-0.5419649259309083,1.148413040114237
sonnet4,Negligent,3.2960452625970844,1.9840731298868388,1.3119721327102456,0.5691166192092281,2.1840677371057615
sonnet4,Blame,3.801294039157786,3.0316106442655237,0.7696833948922621,-0.043088190717163806,1.6142340120743583
sonnet4,Punish,4.259600394326711,3.4206197200809085,0.8389806742458021,-0.263053564176056,2.052382878422973
